Address,Description,Comment 1,Comment 2,Occurrences,
SX15:6,Unused,,,0,0
SX15:7,Unused,,,0,0
SX15:8,Unused,,,0,0
SX16:1,2037 DOF (up),,,492,663
SX16:2,2049 DOF (up),,,3349,4468
SX16:3,2063 DOF (up),,,3558,4762
SX16:4,Unused,,,0,0
SX16:5,?,,,2,4
SX16:6,?,,,3277,4361
SX16:7,?,,,3224,4302
SX16:8,Unused,,,0,0
SX17:1,2037 DOF (dn),,,2,4
SX17:2,2049 DOF (dn),,,2932,3903
SX17:3,2063 DOF (dn),,,2755,3670
SX17:4,Unused,,,0,0
SX17:5,?,,,7,11
SX17:6,?,,,2930,3900
SX17:7,?,,,2753,3669
SX17:8,Unused,,,0,0
