Address,Description,Comment 1,Comment 2,Occurrences
CA17:4,T5511,,,36255
CA17:5,T5512,,,39188
CA17:6,T5513,,,38386
CA17:7,T5514,,,38378
CA17:8,T5515,,,26284
CA18:1,T5522,,,40980
CA18:2,T5523,,,56042
CA18:3,T5524,,,56039
CA18:4,T5525,,,29749
CA18:5,T5531,,,6737
CA18:6,T5532,,,6661
CA18:7,T5542,,,12332
CA18:8,T5543,,,12358
CA19:1,Unused,,,0
CA19:2,T5551,,,12409
CA19:3,T5552,,,11094
CA19:4,T5553,,,10142
CA19:5,T5557,,,1813
CA19:6,T5555,,,1318
CA19:7,T5556,,,750
CA19:8,T5571,,,22234
CA1A:1,T5572,,,21407
CA1A:2,T5573,,,30648
CA1A:3,T5574,,,17667
CA1A:4,T5575,,,17899
CA1A:5,T5581,,,8573
CA1A:6,T5582,,,8589
CA1A:7,T5583,,,19406
CA1A:8,T5584,,,12540
CA1B:1,T5585,,,12504
CA1B:2,Unused,,,0
CA1B:3,Unused,,,0
CA1B:4,CA0091 RTE,,,20108
CA1B:5,CA0092 RTE,,,20023
CA1B:6,CA0097 RTE,,,20312
CA1B:7,CA0099 RTE,,,20340
CA1B:8,CA0100 RTE,,,20314
CA1C:1,CA0123 RTE,,,19391
CA1C:2,CA0140 RTE,,,38886
CA1C:3,CA0145 RTE,,,5866
CA1C:4,CA0147 RTE,,,8043
CA1C:5,CA0149 RTE,,,36496
CA1C:6,CA0150 RTE,,,6595
CA1C:7,CA0152 RTE,,,7802
CA1C:8,CA0154 RTE,,,9888
CA1D:1,CA0156 RTE,,,5859
CA1D:2,CA0158 RTE,,,6522
CA1D:3,CA0161 RTE,,,15615
CA1D:4,CA0162 RTE,,,5072
CA1D:5,CA0163 RTE,,,2820
CA1D:6,CA0164 RTE,,,9336
CA1D:7,CA0175 RTE,,,14376
CA1D:8,CA0177 RTE,,,3340
CA1E:1,CA0179 RTE,,,2418
CA1E:2,CA0647 RTE,,,294
CA1E:3,CA0653 RTE,,,6144
CA1E:4,CA0655 RTE,,,24769
CA1E:5,Unused,,,0
CA1E:6,CA0659 RTE,,,5270
CA1E:7,Unused,,,0
CA1E:8,Unused,,,0
CA1F:1,CA0678 RTE,,,604
CA1F:2,CA0680 RTE,,,360
CA1F:3,Unused,,,0
CA1F:4,Unused,,,0
CA1F:5,CA0707 RTE,,,400
CA1F:6,CA0709 RTE,,,199
CA1F:7,Unused,,,0
CA1F:8,Unused,,,0
CA20:1,CA0171 Main,,CBG B PIIU,4550
CA20:2,CA0171 Subs,,,205
CA20:3,CA0173 Main,,,5563
CA20:4,CA0173 Subs,,,65
CA20:5,CA0180 Main,,,27385
CA20:6,CA0180 Subs,,,2054
CA20:7,CA0188 Main,,,853
CA20:8,CA0188 Subs,,,50
CA21:1,CA0190 Main,,,23112
CA21:2,CA0190 Subs,,,514
CA21:3,CA0193,,,100
CA21:4,CA0195,,,23713
CA21:5,CA0200,,,4480
CA21:6,CA0210,,,19077
CA21:7,CA0401,,,4451
CA21:8,CA0701,,,679
CA22:1,CA0706,,,163
CA22:2,CA0708,,,427
CA22:3,CA0710,,,10615
CA22:4,CA0717,,,3678
CA22:5,CA0719,,,1121
CA22:6,CA0721,,,15153
CA22:7,CA0722,,,1262
CA22:8,CA0724,,,1859
CA23:1,CA0726,,,2221
CA23:2,CA0728,,,2685
CA23:3,CA0730,,,6616
CA23:4,CA0732,,,565
CA23:5,CA0733,,,693
CA23:6,CA0734,,,0
CA23:7,CA0735,,,22
CA23:8,CA0736,,,4
CA24:1,CA0737,,,57
CA24:2,CA0738,,,928
CA24:3,CA0739,,,30
CA24:4,CA0740,,,9
CA24:5,CA0402,,,4457
CA24:6,Unused,,,0
CA24:7,Unused,,,0
CA24:8,Unused,,,0
CA25:1,CA0171 Red,,,4567
CA25:2,CA0173 Red,,,5553
CA25:3,CA0180 Red,,,27405
CA25:4,CA0188 Red,,,860
CA25:5,CA0190 Red,,,23078
CA25:6,CA0193 Red,,,109
CA25:7,CA0195 Red,,,23727
CA25:8,CA0200 Red,,,4495
CA26:1,CA0210 Red,,,19038
CA26:2,CA0401 Red,,,4499
CA26:3,CA0701 Red,,,686
CA26:4,CA0706 Red,,,161
CA26:5,CA0709 Red,,,430
CA26:6,CA0710 Red,,,10610
CA26:7,CA0717 Red,,,3683
CA26:8,CA0719 Red,,,1126
CA27:1,CA0721 Red,,,15137
CA27:2,CA0722 Red,,,1266
CA27:3,CA0724 Red,,,1863
CA27:4,CA0726 Red,,,2222
CA27:5,CA0728 Red,,,2685
CA27:6,CA0730 Red,,,6625
CA27:7,CA0732 Red,,,573
CA27:8,CA0733 Red,,,694
CA28:1,CA0734 Red,,,6
CA28:2,CA0735 Red,,,27
CA28:3,CA0736 Red,,,10
CA28:4,CA0737 Red,,,62
CA28:5,CA0738 Red,,,931
CA28:6,CA0739 Red,,,36
