Address,Description,Comment 1,Comment 2,Occurrences
CA67:3,CA0043,,,20324
CA67:4,CA0042,,,0
CA67:5,CA0040,,,20447
CA67:6,CA0039,,,20373
CA67:7,CA0038,,,0
CA67:8,CA0037,,,20369
CA68:1,CA0061,,,20404
CA68:2,CA0059,,,20391
CA68:3,CA0056,,,0
CA68:4,CA0055,,,0
CA68:5,CA0054,,,0
CA68:6,CA0053,,,0
CA68:7,CA0050,,,20474
CA68:8,CA0047,,,47
CA69:1,CA0521,,,9
CA69:2,CA0519,,,6
CA69:3,CA0515,,,7
CA69:4,CA0072,,,20335
CA69:5,CA0067,,,20285
CA69:6,CA0066,,,20560
CA69:7,CA0064,,,91
CA69:8,CA0062,,,20452
CA6A:1,Unused,,,0
CA6A:2,Unused,,,0
CA6A:3,Unused,,,0
CA6A:4,CA0600,,,0
CA6A:5,CA0051,,,0
CA6A:6,CAWH73,,,0
CA6A:7,CA0525,,,0
CA6A:8,CA0524,,,10
CA6B:1,R62,,,264
CA6B:2,R61,,,189
CA6B:3,R50,,,185
CA6B:4,R47,,,47
CA6B:5,R45,,,168
CA6B:6,R44,,,20321
CA6B:7,R43B,,,42
CA6B:8,R43A,,,20256
CA6C:1,R515ASP,,,0
CA6C:2,R515ASNP,,,6
CA6C:3,R72,,,20331
CA6C:4,R67,,,20006
CA6C:5,R66BM,,,350
CA6C:6,R66AC,,,6
CA6C:7,R66AM,,,95
CA6C:8,R64,,,95
CA6D:1,R524ASP,,,1
CA6D:2,R524ASNP,,,5
CA6D:3,R521BS,,,1
CA6D:4,R521AS,,,8
CA6D:5,R19BS,,,4
CA6D:6,R19AS,,,2
CA6D:7,R515BSP,,,0
CA6D:8,R515BSNP,,,2
CA6E:1,Unused,,,0
CA6E:2,Unused,,,0
CA6E:3,Unused,,,0
CA6E:4,Unused,,,0
CA6E:5,Unused,,,0
CA6E:6,R1502,,,29484
CA6E:7,R1503,,,15
CA6E:8,R524BS,,,4
CA6F:1,T3712,,,20285
CA6F:2,T3711,,,20302
CA6F:3,T3611,,,20363
CA6F:4,T3514,,,20301
CA6F:5,T3513,,,20292
CA6F:6,T3512,,,20314
CA6F:7,T3511,,,20308
CA6F:8,T3415,,,20279
CA70:1,T4113,,,20289
CA70:2,T4112,,,20323
CA70:3,T4111,,,20345
CA70:4,T4012,,,20336
CA70:5,T4011,,,20328
CA70:6,T3912,,,20327
CA70:7,T3911,,,20335
CA70:8,T3811,,,20331
CA71:1,T43141,,,20329
CA71:2,T4313,,,20339
CA71:3,T4312,,,20338
CA71:4,T4311,,,20340
CA71:5,T4212,,,20386
CA71:6,T4211,,,20344
CA71:7,T4115,,,20339
CA71:8,T4114,,,20303
CA72:1,TGC4515,,,20345
CA72:2,T4514,,,20362
CA72:3,T4513,,,20381
CA72:4,T4512,,,20412
CA72:5,T4511,,,20341
CA72:6,T4412,,,20342
CA72:7,T4411,,,20355
CA72:8,T43142,,,20330
CA73:1,T4523,,,20314
CA73:2,T4524,,,20470
CA73:3,T45251,,,20446
CA73:4,T45252,,,20413
CA73:5,T4526,,,20452
CA73:6,T4527,,,20427
CA73:7,TGC4528,,,20409
CA73:8,TGC4621,,,20421
CA74:1,T4223,,,20391
CA74:2,T4321,,,20392
CA74:3,T4322,,,20395
CA74:4,T4323,,,20393
CA74:5,T4421,,,20395
CA74:6,T4422,,,20422
CA74:7,T4521,,,20408
CA74:8,T4522,,,20399
CA75:1,T4121,,,20397
CA75:2,T4122,,,20426
CA75:3,T4123,,,20438
CA75:4,T4124,,,20449
CA75:5,T4125,,,20439
CA75:6,T4126,,,20383
CA75:7,T4221,,,20400
CA75:8,T4222,,,20392
CA76:1,T3721,,,20335
CA76:2,T3722,,,20341
CA76:3,T3723,,,20382
CA76:4,T3821,,,20383
CA76:5,T3921,,,20373
CA76:6,T3922,,,20414
CA76:7,T4021,,,20388
CA76:8,T4022,,,20384
CA77:1,T4531,,,162
CA77:2,T3521,,,20365
CA77:3,T3522,,,20374
CA77:4,T3523,,,20368
CA77:5,T3524,,,20361
CA77:6,T3525,,,20353
CA77:7,T3621,,,20353
CA77:8,T3622,,,20340
CA78:1,TSDGFES,,,12655
CA78:2,TSDEWEY,,,20305
CA78:3,TSDEHEK,,,12457
CA78:4,TSDEGGD,,,12394
CA78:5,TSDEBEF,,,12381
CA78:6,TSD3414,,,20281
CA78:7,T4525,,,20419
CA78:8,T4314,,,20316
CA79:1,T4122IP,,,20399
CA79:2,TSDZEP,,,7512
CA79:3,TSDBGZB,,,7518
CA79:4,TSDAGE,,,108
CA79:5,TSDEXEV,,,20423
CA79:6,TSDYEV,,,20255
CA79:7,TSDYET,,,12759
CA79:8,TSDYEL,,,12496
CA7A:1,Unused,,,0
CA7A:2,Unused,,,0
CA7A:3,Unused,,,0
CA7A:4,Unused,,,0
CA7A:5,Unused,,,0
CA7A:6,Unused,,,0
CA7A:7,Unused,,,0
CA7A:8,TWH4622,,,20425
CA7B:1,CA0244,,ELY CENT SSI,0
CA7B:2,CA0245,,,19508
CA7B:3,CA0246,,,0
CA7B:4,CA0247,,,19508
CA7B:5,CA0248,,,19217
CA7B:6,CA0249,,,19508
CA7B:7,CA0250,,,19185
CA7B:8,CA0251,,,19506
CA7C:1,CA0252,,,19309
CA7C:2,CA0253,,,19682
CA7C:3,CA0254,,,19233
CA7C:4,CA0255,,,536
CA7C:5,CA0256,,,5
CA7C:6,CA0257,,,19387
CA7C:7,CA0259,,,5678
CA7C:8,CA0262,,,1489
CA7D:1,CA0270,,,1604
CA7D:2,CA0271,,,2302
CA7D:3,CA0272,,,148
CA7D:4,CA0273,,,881
CA7D:5,CA0274,,,3074
CA7D:6,CA0276,,,18940
CA7D:7,CA0281,,,22118
CA7D:8,CA0278,,,2010
CA7E:1,CA0283,,,1740
CA7E:2,CA0285,,,6085
CA7E:3,CA0288,,,27736
CA7E:4,CA0287,,,1348
CA7E:5,CA0290,,,3645
CA7E:6,CA0760,,,7
CA7E:7,CA0761,,,23
CA7E:8,CA0762,,,144
CA7F:1,CA0764,,,27
CA7F:2,CA0765,,,302
CA7F:3,CA0766,,,288
CA7F:4,CA0769,,,62
CA7F:5,Unused,,,0
CA7F:6,Unused,,,0
CA7F:7,Unused,,,0
CA7F:8,Unused,,,0
CA80:1,R245,,,229
CA80:2,R248,,,186
CA80:3,Unused,,,0
CA80:4,R251,,,541
CA80:5,R253AM,,,376
CA80:6,R253BM,,,553
CA80:7,R255AS,,,184
CA80:8,R255BM,,,353
CA81:1,R255BS,,,1
CA81:2,R256,,,6
CA81:3,R257AC,,,10
CA81:4,R257AM,,,17832
CA81:5,R257BM,,,1445
CA81:6,R257CM,,,10
CA81:7,R257CS,,,0
CA81:8,R259CS,,,2
CA82:1,R259AC,,,10
CA82:2,R259AM,,,3568
CA82:3,R259BM,,,868
CA82:4,R259CM,,,1295
CA82:5,R262,,,1516
CA82:6,R270AM,,,1511
CA82:7,R270BM,,,94
CA82:8,R270CM,,,7
CA83:1,R271AC,,,3
CA83:2,R271AM,,,1138
CA83:3,R271CS,,,34
CA83:4,R271BC,,,54
CA83:5,R271BM,,,1100
CA83:6,R272AM,,,54
CA83:7,R272BM,,,94
CA83:8,R272CM,,,2
CA84:1,R273AS,,,151
CA84:2,R273BS,,,1
CA84:3,R273BM,,,731
CA84:4,R274AM,,,1751
CA84:5,R274BM,,,1315
CA84:6,R274CM,,,4
CA84:7,R276AM,,,2600
CA84:8,R276BM,,,16320
CA85:1,R276CM,,,4
CA85:2,R278AM,,,118
CA85:3,R278BM,,,1363
CA85:4,R278CM,,,6
CA85:5,R278DS,,,412
CA85:6,R278ES,,,94
CA85:7,R281,,,22122
CA85:8,R283AM,,,620
CA86:1,R283BM,,,1132
CA86:2,R285AM,,,3391
CA86:3,R285BM,,,2707
CA86:4,R287AM,,,1310
CA86:5,R287BM,,,43
CA86:6,R288AM,,,1572
CA86:7,R288AS,,,25
CA86:8,R288BS,,,169
CA87:1,R288CC,,,174
CA87:2,R288CM,,,7233
CA87:3,R288DC,,,24
CA87:4,R288DM,,,18635
CA87:5,R290AM,,,31
CA87:6,R290AS,,,15
CA87:7,R290BS,,,11
CA87:8,R290CC,,,22
CA88:1,R290CM,,,652
CA88:2,R290DC,,,2
CA88:3,R290DM,,,865
CA88:4,R290EC,,,16
CA88:5,R290EM,,,2037
CA88:6,R760,,,7
CA88:7,R761CS,,,4
CA88:8,R761BS,,,13
CA89:1,R761AS,,,6
CA89:2,R762,,,144
CA89:3,R764,,,27
CA89:4,R765AS,,,154
CA89:5,R765BS,,,148
CA89:6,R766AS,,,247
CA89:7,R766BS,,,42
CA89:8,R769,,,62
CA8A:1,T6411,,,19437
CA8A:2,T6412,,,19412
CA8A:3,T6421,,,19188
CA8A:4,T6511,,,19420
CA8A:5,T6512,,,19437
CA8A:6,T6521,,,19150
CA8A:7,T6522,,,19145
CA8A:8,T6611,,,19415
CA8B:1,T6612,,,19443
CA8B:2,T6621,,,19153
CA8B:3,T6622,,,19136
CA8B:4,T6623,,,19210
CA8B:5,T6711,,,19435
CA8B:6,T6712,,,19465
CA8B:7,T6721,,,19195
CA8B:8,T6811,,,19437
CA8C:1,T6821,,,19136
CA8C:2,TKA,,,556
CA8C:3,TKC,,,719
CA8C:4,TKD,,,348
CA8C:5,TKF,,,919
CA8C:6,TKG,,,2013
CA8C:7,TKH,,,1993
CA8C:8,TLA,,,19422
CA8D:1,TLB,,,19434
CA8D:2,TLC,,,19461
CA8D:3,TLD,,,19472
CA8D:4,TLF,,,19082
CA8D:5,TLG,,,19114
CA8D:6,TLJ,,,19115
CA8D:7,TLK,,,22698
CA8D:8,TLL,,,22685
CA8E:1,TLM,,,24084
CA8E:2,TLP,,,23843
CA8E:3,TLR,,,24057
CA8E:4,TLS,,,24186
CA8E:5,TLY,,,31051
CA8E:6,TLU,,,31063
CA8E:7,TLT,,,24167
CA8E:8,TMB,,,19136
CA8F:1,TME,,,19142
CA8F:2,TMF,,,19243
CA8F:3,TMG,,,20690
CA8F:4,TMH,,,29564
CA8F:5,TMJ,,,29571
CA8F:6,TMK,,,29470
CA8F:7,TML,,,24425
CA8F:8,TMM,,,20048
CA90:1,TMP,,,20534
CA90:2,TMR,,,20672
CA90:3,TMS,,,21272
CA90:4,TMT,,,35392
CA90:5,TMU,,,38508
CA90:6,TMV,,,38482
CA90:7,TNF,,,11694
CA90:8,TNG,,,11652
CA91:1,TNH,,,2762
CA91:2,TNJ,,,2879
CA91:3,TNK,,,2875
CA91:4,TNL,,,4201
CA91:5,TNM,,,199
CA91:6,TNP,,,7347
CA91:7,TNR,,,9018
CA91:8,TNS,,,14098
CA92:1,TNT,,,3161
CA92:2,TNU,,,3153
CA92:3,TNW,,,3154
CA92:4,TMY,,,31520
CA92:5,Unused,,,0
CA92:6,Unused,,,0
CA92:7,Unused,,,0
CA92:8,Unused,,,0
CA93:1,P1146N,,,223
CA93:2,P1136N,,,4629
CA93:3,P1133R,,,7075
CA93:4,P1133N,,,7134
CA93:5,P1132R,,,1452
CA93:6,P1132N,,,1494
CA93:7,Unused,,,0
CA93:8,Unused,,,0
CA94:1,CA0293,,ELY N SSI,27414
CA94:2,CA0295,,,3829
CA94:3,CA0296,,,27865
CA94:4,CA0298,,,3640
CA94:5,CA0301,,,638
CA94:6,CA0303,,,27482
CA94:7,CA0305,,,3954
CA94:8,CA0306,,,7748
CA95:1,CA0771,,,16578
CA95:2,CA0773,,,250
CA95:3,CA0774,,,359
CA95:4,CA0776,,,8
CA95:5,CA0778,,,9
CA95:6,CA0780,,,7
CA95:7,CA0800,,,8949
CA95:8,CA0908,,,15487
CA96:1,CA0910,,,138
CA96:2,CA0911,,,15614
CA96:3,CA0912,,,15461
CA96:4,CA0914,,,122
CA96:5,CA0915,,,744
CA96:6,CA0916,,,16553
CA96:7,CA0917,,,15686
CA96:8,CA0919,,,15650
CA97:1,CA0920,,,16172
CA97:2,CA0921,,,15721
CA97:3,CA0922,,,32151
CA97:4,CA0923,Unused,,0
CA97:5,CA0924,Unused,,0
CA97:6,Unused,,,0
CA97:7,Unused,,,0
CA97:8,Unused,,,0
CA98:1,R293,,,27484
CA98:2,R295,,,3846
CA98:3,R296,,,27885
CA98:4,R298,,,3654
CA98:5,R301AM,,,413
CA98:6,R301BM,,,233
CA98:7,R303AM,,,14876
CA98:8,R303BM,,,7180
CA99:1,R303CM,,,5490
CA99:2,R303DS,,,0
CA99:3,R305AM,,,304
CA99:4,R305BM,,,3551
CA99:5,R305CS,,,0
CA99:6,R306AM,,,6751
CA99:7,R306BM,,,552
CA99:8,R306CM,,,443
CA9A:1,R771AS,,,1
CA9A:2,R771BS,,,4
CA9A:3,R771CS,,,107
CA9A:4,R773,,,227
CA9A:5,R774AS,,,225
CA9A:6,R774BS,,,33
CA9A:7,R774CS,,,73
CA9A:8,R776AS,,,3
CA9B:1,R776BS,,,3
CA9B:2,R776CS,,,3
CA9B:3,R778AS,,,3
CA9B:4,R778BS,,,7
CA9B:5,R778CS,,,1
CA9B:6,R780AS,,,5
CA9B:7,R780BS,,,7
CA9B:8,R800AM,,,6503
CA9C:1,R800BM,,,2110
CA9C:2,R800CM,,,312
CA9C:3,R908AM,,,14701
CA9C:4,R908BM,,,753
CA9C:5,R908CM,,,27
CA9C:6,R910,,,138
CA9C:7,R911,,,1785
CA9C:8,R912,,,277
CA9D:1,R914,,,124
CA9D:2,R915,,,744
CA9D:3,R916AM,,,1061
CA9D:4,R916BM,,,120
CA9D:5,R916CM,,,600
CA9D:6,R919,,,290
CA9D:7,R920,,,288
CA9D:8,R921,,,369
CA9E:1,R922,,,353
CA9E:2,Unused,,,0
CA9E:3,Unused,,,0
CA9E:4,Unused,,,0
CA9E:5,Unused,,,0
CA9E:6,Unused,,,0
CA9E:7,Unused,,,0
CA9E:8,Unused,,,0
CA9F:1,TAA,,,15648
CA9F:2,TAB,,,15533
CA9F:3,TAC,,,15558
CA9F:4,TAD,,,15537
CA9F:5,TAE,,,15566
CA9F:6,TAF,,,15580
CA9F:7,TAG,,,15552
CA9F:8,TAH,,,15600
CAA0:1,TAJ,,,15567
CAA0:2,TBA,,,16225
CAA0:3,TBC,,,16144
CAA0:4,TBD,,,16113
CAA0:5,TBE,,,16129
CAA0:6,TBF,,,16120
CAA0:7,TBH,,,16120
CAA0:8,TBJ,,,16109
CAA1:1,TBK,,,16257
CAA1:2,TBL,,,16103
CAA1:3,TRA,,,30960
CAA1:4,TRB,,,30969
CAA1:5,TRG,,,30991
CAA1:6,TRJ,,,1418
CAA1:7,TRL,,,14917
CAA1:8,TRM,,,14919
CAA2:1,TRN,,,14904
CAA2:2,TRK,,,16328
CAA2:3,TRF,,,30988
CAA2:4,TRE,,,30975
CAA2:5,TRC,,,30979
CAA2:6,TBG,,,16123
CAA2:7,TBB,,,16210
CAA2:8,TVB,,,7842
CAA3:1,TSG,,,47677
CAA3:2,TSF,,,31636
CAA3:3,TSE,,,31515
CAA3:4,TSC,,,31516
CAA3:5,TMZ,,,31533
CAA3:6,TLZ,,,31040
CAA3:7,TTA,,,9227
CAA3:8,TUA,,,18121
CAA4:1,TUB,,,18113
CAA4:2,TUC,,,8895
CAA4:3,TVA,,,15483
CAA4:4,TRP,,,14915
CAA4:5,TRQ,,,14931
CAA4:6,TRR,,,14930
CAA4:7,TRS,,,1358
CAA4:8,TRT,,,16274
CAA5:1,TRU,,,16285
CAA5:2,TRV,,,15587
CAA5:3,TRW,,,15550
CAA5:4,TRX,,,15562
CAA5:5,TRZ,,,1384
CAA5:6,TSA,,,31499
CAA5:7,TSB,,,31499
CAA5:8,TSH,,,47764
CAA6:1,TSJ,,,442
CAA6:2,TSK,,,48980
CAA6:3,TSL,,,48984
CAA6:4,TSM,,,15401
CAA6:5,TSN,,,15421
CAA6:6,TSP,,,15412
CAA6:7,TSQ,,,15408
CAA6:8,TSR,,,15409
CAA7:1,TSS,,,16097
CAA7:2,TST,,,16093
CAA7:3,TSU,,,16101
CAA7:4,Unused,,,0
CAA7:5,Unused,,,0
CAA7:6,Unused,,,0
CAA7:7,Unused,,,0
CAA7:8,Unused,,,0
CAA8:1,P1160N,,,1364
CAA8:2,P1152R,,,231
CAA8:3,P1151R,,,13743
CAA8:4,P1151N,,,13748
CAA8:5,Unused,,,0
CAA8:6,Unused,,,0
CAA8:7,Unused,,,0
CAA8:8,Unused,,,0
CAA9:1,CA0307,,ELY E SSI,7944
CAA9:2,CA0308,,,7734
CAA9:3,CA0311,,,7906
CAA9:4,CA0801,,,9338
CAA9:5,CA0802,,,8942
CAA9:6,CA0803,,,9351
CAA9:7,CA0804,,,8946
CAA9:8,CA0808,,,9006
CAAA:1,R307,,,195
CAAA:2,R308,,,147
CAAA:3,R801,,,147
CAAA:4,R802,,,113
CAAA:5,R803,,,226
CAAA:6,R804,,,72
CAAA:7,R808,,,152
CAAA:8,Unused,,,6
CAAB:1,TTB,,,9220
CAAB:2,TTC,,,9254
CAAB:3,TTD,,,9235
CAAB:4,TTE,,,9217
CAAB:5,TTF,,,9221
CAAB:6,TTG,,,9246
CAAB:7,TTH,,,9224
CAAB:8,TTJ,,,6
CAAC:1,TUD,,,8904
CAAC:2,TUE,,,8907
CAAC:3,TUF,,,8904
CAAC:4,TUG,,,8895
CAAC:5,TUH,,,8903
CAAC:6,TUK,,,8904
CAAC:7,TUJ,,,8919
CAAC:8,TUN,,,8876
CAAD:1,TUL,,,8882
CAAD:2,TUQ,,,0
CAAD:3,TUP,,,0
CAAD:4,TUR,,,0
CAAD:5,TVC,,,7850
CAAD:6,TVD,,,7842
CAAD:7,TVE,,,7839
CAAD:8,TVF,,,7852
CAAE:1,TVG,,,7850
CAAE:2,TWB,,,7661
CAAE:3,TWC,,,7676
CAAE:4,TWD,,,7689
CAAE:5,TWE,,,7707
CAAE:6,TWF,,,7697
CAAE:7,TWG,,,7704
CAAE:8,Unused,,,0
CAAF:1,CA0483,,ELY S SSI,5758
CAAF:2,CA0486,,,6045
CAAF:3,CA0488,,,6148
CAAF:4,CA0491,,,5665
CAAF:5,CA0494,,,5982
CAAF:6,CA0495,,,5672
CAAF:7,CA0498,,,5980
CAAF:8,Unused,,,0
CAB0:1,R483,,,189
CAB0:2,R486,,,116
CAB0:3,R488,,,249
CAB0:4,R491,,,5662
CAB0:5,R494,,,5986
CAB0:6,R495,,,5671
CAB0:7,R498,,,5984
CAB0:8,R1182,Unused,,0
CAB1:1,THB,,,5615
CAB1:2,THC,,,5642
CAB1:3,THD,,,5638
CAB1:4,THF,,,5624
CAB1:5,THH,,,5665
CAB1:6,THJ,,,5643
CAB1:7,THL,,,5648
CAB1:8,THM,,,5616
CAB2:1,THP,,,5642
CAB2:2,THR,,,5616
CAB2:3,TJA,,,5949
CAB2:4,TJB,,,5982
CAB2:5,TJC,,,5967
CAB2:6,TJE,,,5993
CAB2:7,TJF,,,5964
CAB2:8,TJG,,,5985
CAB3:1,TJH,,,5986
CAB3:2,TJJ,,,6047
CAB3:3,TJL,,,5988
CAB3:4,TJM,,,6012
CAB3:5,TJP,,,5991
CAB3:6,TJR,,,11691
CAB3:7,TJS,,,11625
CAB3:8,TJT,,,11617
CAB4:1,TJV,,,11613
CAB4:2,TJW,,,11607
CAB4:3,TJX,,,11578
CAB4:4,TJY,,,11612
CAB4:5,TNC,,,11593
CAB4:6,TND,,,11577
CAB4:7,TNE,,,11678
CAB4:8,Unused,,,0
CAB5:1,CM14,13,CHPNJN TD,5656
CAB5:2,,14,,4457
CAB5:3,,16,,23
CAB5:4,CM02,2,,4532
CAB5:5,CM04,4,,5965
CAB5:6,CM05,5,,10523
CAB5:7,P8R,,,4211
CAB5:8,TC,CM16 Overlap,,10442
CAB6:1,TG,CM2 Overlap,,9156
CAB6:2,THB,CM14 Overlap,,10109
CAB6:3,THD,CA483 Berth,,5627
CAB6:4,THF,CA483 Overlap,,5633
CAB6:5,TJA,CM4 Overlap,,5944
CAB6:6,TK,CM5 Berth,,10535
CAB6:7,Unused,,,0
CAB6:8,Unused,,,0
CAB7:1,DM02,,DOW TD,7425
CAB7:2,DM03,,,7655
CAB7:3,DM08,,,282
CAB7:4,DM11,,,22
CAB7:5,DM16,,,40
CAB7:6,DM26,,,7621
CAB7:7,DM27,,,7805
CAB7:8,DM27 Subs,,,0
CAB8:1,P9N,,,93
CAB8:2,P9R,,,88
CAB8:3,P15N,,,358
CAB8:4,P15R,,,316
CAB8:5,T76117711,,,15562
CAB8:6,T8412,,,15499
CAB8:7,T8512,,,15538
CAB8:8,T8514,,,7873
CAB9:1,T8521,,,7681
CAB9:2,T8611,,,7868
CAB9:3,T8612,,,8218
CAB9:4,T8914,,,7637
CAB9:5,T86158811,,,7661
CAB9:6,T8622,,,7727
CAB9:7,T8623,,,7457
CAB9:8,Unused,,,0
CABA:1,D005,,DUL TD,302
CABA:2,D002,,,4486
CABA:3,D003,,,4457
CABA:4,D004,,,4485
CABA:5,P19R,,,452
CABA:6,P19N,,,428
CABA:7,TBB,,,9079
CABA:8,TEDU,,,8830
CABB:1,TGDU,,,481
CABB:2,T05320732,,,9329
CABB:3,T0931,,,8970
CABB:4,Unused,,,0
CABB:5,Unused,,,0
CABB:6,Unused,,,0
CABB:7,Unused,,,0
CABB:8,Unused,,,0
CABC:1,KL7A,,KLN TD,704
CABC:2,KL7B,OOU,,0
CABC:3,KL19,KL43 Shunt,,424
CABC:4,KL22,,,1249
CABC:5,KL23,,,6348
CABC:6,KL24,,,605
CABC:7,KL25,,,8129
CABC:8,KL29,R KL25,,8359
CABD:1,KL35,,,7403
CABD:2,KL36,,,7424
CABD:3,KL36 Subs,OOU,,0
CABD:4,KL38,OOU,,0
CABD:5,KL43,KL43 C/O,,1651
CABD:6,KL43,Main,,6671
CABD:7,KL44,,,7570
CABD:8,KL45,,,7604
CABE:1,P10N,OOU,,0
CABE:2,P10R,OOU,,0
CABE:3,P12R,Mid Twrs,,921
CABE:4,P12N,,,4368
CABE:5,P26N,P1/P2,,2328
CABE:6,P26R,,,5195
CABE:7,P27N,KLN/CS,,1269
CABE:8,Unused,P27R,,0
CABF:1,TZA,,,14994
CABF:2,TZB,,,14989
CABF:3,TZC,,,14991
CABF:4,TZD,,,15000
CABF:5,TZG,,,15008
CABF:6,TZJ,,,17337
CABF:7,TZL,,,1717
CABF:8,TZM,,,16478
CAC0:1,TZS,,,16500
CAC0:2,TZT,,,12459
CAC0:3,TVV,,,2811
CAC0:4,TZW,,,1120
CAC0:5,TZX,,,5620
CAC0:6,T90149213,,,15206
CAC0:7,T9411,KL45 Berth,,15042
CAC0:8,Unused,,,0
CAC1:1,LT04,,,7674
CAC1:2,LT05,,,7666
CAC1:3,LT06,,,7672
CAC1:4,LT22,,,7816
CAC1:5,LT24,,,7821
CAC1:6,T7525,LT5 Overlap,,7719
CAC1:7,T7611,LT22 Overlap,,7866
CAC1:8,T7613,LT4 Overlap,,15527
CAC2:1,T7614,LT04 Berth,,15513
CAC2:2,T79118521,,,15740
CAC2:3,TVGLT,,,7848
CAC2:4,TWDWE,,,7741
CAC2:5,TWGLT,,,7712
CAC2:6,TWFLT,,,7699
CAC2:7,Unused,,,0
CAC2:8,Unused,,,0
CAC3:1,LT02,,LTP TD,15768
CAC3:2,LT12,,,2
CAC3:3,LT14,,,11
CAC3:4,LT21,,,16072
CAC3:5,P13R,,,41
CAC3:6,TAM,,,15494
CAC3:7,TAN,,,15545
CAC3:8,TCC,,,16165
CAC4:1,TAP,,,15523
CAC4:2,TBAMA,,,16107
CAC4:3,TAK,,,15530
CAC4:4,TAJMA,,,15590
CAC4:5,TBMA,,,16244
CAC4:6,Unused,,,0
CAC4:7,Unused,,,0
CAC4:8,Unused,,,0
CAC5:1,MR01,,MAG RD TD,7610
CAC5:2,MR02,,,7600
CAC5:3,MR03,,,7609
CAC5:4,MR04,,,7422
CAC5:5,MR05,,,14875
CAC5:6,MR06,,,7427
CAC5:7,T86234TCL,,,7590
CAC5:8,T8811,,,7636
CAC6:1,T8821,,,14875
CAC6:2,T9012,,,7601
CAC6:3,T9014,,,7594
CAC6:4,T9021,,,7447
CAC6:5,T9112,,,15053
CAC6:6,T9213ZD,,,15169
CAC6:7,Unused,,,0
CAC6:8,Unused,,,0
CAC7:1,Unused,,,0
CAC7:2,Unused,,,0
CAC7:3,Unused,,,0
CAC7:4,Unused,,,0
CAC7:5,Unused,,,0
CAC7:6,Unused,,,0
CAC7:7,Unused,,,0
CAC7:8,Unused,,,0
