Address,Description,Comment 1,Comment 2,Signalling ID,Occurrences
Q100:1,L226 to L5057,SG,OOU,R226AS,0
Q100:2,L226 to L222,UE,,R226BM,39589
Q100:3,L229 to L237,DTM,,R229AM,4461
Q100:4,L229 to L239,UTM,,R229BM,975
Q100:5,L229 to L241,DM,,R229CM,35906
Q100:6,L231 to L241,DM,,R231AM,1787
Q100:7,L231 to L245,DE,,R231BM,35635
Q100:8,L235 to L241,DM,,R235AM,1
Q101:1,L235 to L245,DE,,R235BM,201
Q101:2,L240 to UR518,GF,,R240AM,0
Q101:3,L240 to L230,UE,,R240BM,94
Q101:4,L240 to L228,UM,Via 2126R,R240C1M,0
Q101:5,L242 to UR518,GF,,R242AM,2
Q101:6,L242 to L230,UE,,R242BM,236
Q101:7,L242 to L228,UM,,R242CM,34510
Q101:8,L244 to UR518,GF,,R244AM,148
Q102:1,L244 to L230,UE,,R244BM,39288
Q102:2,L309 to L321,DM,,R309AM,41784
Q102:3,L309 to L317,DE,,R309BM,739
Q102:4,L309 to L319,UE,,R309CM,1
Q102:5,L311 to L317,DE,,R311AM,40
Q102:6,L311 to L319,UE,,R311BM,0
Q102:7,L313 to L317,DE,,R313AM,36287
Q102:8,L313 to L319,UE,,R313BM,1
Q103:1,L317 to L323,DE,,R317AM,33880
Q103:2,L317 to L909,DB,,R317BM,3203
Q103:3,L326 to L316,UM,,R326AM,38594
Q103:4,L326 to L304,DM,,R326BM,178
Q103:5,L328 to L308,DE,,R328AM,3
Q103:6,L328 to L316,UM,,R328BM,4
Q103:7,L328 to L304,DM,,R328CM,1
Q103:8,L330 to L324,UE,,R330AM,39240
Q104:1,L330 to L308,DE,,R330BM,45
Q104:2,L330 to L316,UM,,R330CM,1213
Q104:3,L330 to L304,DM,,R330DM,67
Q104:4,L903 to L907,DM,,R903AM,15760
Q104:5,L904 to S26,UM,,R904AM,16202
Q104:6,L907 to L913,DM,,R907AM,15721
Q104:7,L907 to L915,UM,,R907BM,73
Q104:8,L909 to L913,DM,,R909AM,3192
Q105:1,L910 to L332,DB,,R910AM,1
Q105:2,L911 to L915,UM,,R911AM,5
Q105:3,L912 to L904,UM,,R912AM,16234
Q105:4,L912 to L334,UB,,R912BM,2861
Q105:5,L913 to L921,DM,,R913AM,18866
Q105:6,L915 to L921,DM,,R915AM,15
Q105:7,L918 to L912,UM,,R918AM,6
Q105:8,L918 to L910,DM,,R918BM,0
Q106:1,L920 to L912,UM,,R920AM,18975
Q106:2,L920 to L910,DM,,R920BM,1
Q106:3,L355 to L357,DE,,R355AM,0
Q106:4,L357 to L363,DE,,R357AM,28482
Q106:5,L357 to L367,UE,,R357BM,2453
Q106:6,L361 to HSHNT,SG,,R361AS,836
Q106:7,L361 to L363,DE,,R361BM,2275
Q106:8,L361 to L367,UE,,R361CM,374
Q107:1,L386 to L374,UE,,R386AM,0
Q107:2,L392 to L388,UE,,R392AM,28212
Q107:3,L392 to ICIN,IN,,R392BS,311
Q107:4,L392 to RIFC,OUT,,R392CS,2038
Q107:5,L400 to L390,UM,,R400AM,41753
Q107:6,L400 to L394,UE,,R400BM,579
Q107:7,L416 to RCHS,SG,,R416AS,0
Q107:8,L416 to L408,UM,,R416BM,42104
Q108:1,L427 to L431,DE,,R427AM,0
Q108:2,L431 to L987,,,R431AM,0
Q108:3,L431 to L985,,,R431BM,0
Q108:4,L431 to L983,,,R431CM,0
Q108:5,L433 to L441,DE,,R433AM,23818
Q108:6,L433 to L443,DM,,R433BM,730
Q108:7,L435 to L441,DE,,R435AM,504
Q108:8,L435 to L443,DM,,R435BM,39945
Q109:1,L429 to L435,,,R429AM,0
Q109:2,L441 to L445,,,R441AM,0
Q109:3,L443 to L449,,,R443AM,0
Q109:4,L458 to L456,,,R458AM,0
Q109:5,L460 to L456,,,R460AM,0
Q109:6,L472 to L462,,,R472AM,0
Q109:7,L464 to L460,,,R464AM,0
Q109:8,L478 to L474,,,R478AM,0
Q10A:1,L480 to L476,,,R480AM,0
Q10A:2,L5125 to R990,,,R5125AS,0
Q10A:3,L431 to L987,,,R431ASP,0
Q10A:4,L468 to L460,UE,,R468AM,0
Q10A:5,L468 to L458,DE,,R468BM,0
Q10A:6,L470 to L460,UE,,R470AM,0
Q10A:7,L474 to L472,UM,,R474AM,495
Q10A:8,L474 to L470,UE,,R474BM,23183
Q10B:1,L476 to L472,UM,,R476AM,41147
Q10B:2,L476 to L470,UE,,R476BM,542
Q10B:3,L329 to L335,DA,,R329AM,2304
Q10B:4,L329 to L345,DM,,R329BM,39286
Q10B:5,L337 to RAS1,SG1,,R337AS,56
Q10B:6,L337 to RAS2,SG2,,R337BS,35
Q10B:7,L337 to RAS3,SG3,,R337CS,28
Q10B:8,L337 to RAS4,SG4,,R337DS,23
Q10C:1,L337 to RAS5,SG5,,R337ES,27
Q10C:2,L341 to L347,DE,,R341AM,0
Q10C:3,Unused,,,,0
Q10C:4,L343 to L347,DE,,R343AM,0
Q10C:5,Unused,,,,0
Q10C:6,L351 to RIFL,GL,,R351AS,136
Q10C:7,L351 to RIFL,CS,,R351BS,144
Q10C:8,L351 to RIFL,2,,R351CS,1
Q10D:1,L351 to L355,DE,,R351DM,578
Q10D:2,L351 to L359,DM,,R351EM,38614
Q10D:3,L353 to RIFL,GL,,R353AS,3239
Q10D:4,L353 to RIFL,CS,,R353BS,1592
